Date,SPY,SPUU
2022-01-04,-0.00033489566647548763,0.0011052788978422878
2022-01-05,-0.019202138799475743,-0.0348224091081939
2022-01-06,-0.000939410770863125,-0.006335781961710474
2022-01-07,-0.003953445565775482,-0.0071732025542753375
2022-01-10,-0.001244451263898605,-0.002676006627207572
2022-01-11,0.009108283847673038,0.017977022483368854
2022-01-12,0.0027035252656748554,0.0052713305114178155
2022-01-13,-0.013778596027508194,-0.030152138085233537
2022-01-14,0.00040904957286991284,0.004055211498690259
2022-01-18,-0.01770960793615739,-0.03715661811640458
2022-01-19,-0.010383509306510774,-0.019668183728480226
2022-01-20,-0.011068130919570263,-0.02253488968923656
2022-01-21,-0.01963064735224196,-0.03900783941100128
2022-01-24,0.004246664823984281,0.009414044545478673
2022-01-25,-0.012208879637357839,-0.026774981169893408
2022-01-26,-0.002508748855828302,-0.0006183172258883429
2022-01-27,-0.004938087376198164,-0.013609536687030355
2022-01-28,0.024835438096006524,0.047245784423260995
2022-01-31,0.018011091386336497,0.03922521390924172
2022-02-01,0.006757042074796438,0.015366923776863661
2022-02-02,0.009713980992321902,0.017215244823091336
2022-02-03,-0.023504862853217068,-0.04658728058080752
2022-02-04,0.004702034287266121,0.010045816438134736
2022-02-07,-0.003209144161219535,-0.009173404512857974
2022-02-08,0.008228002482559837,0.018614278839327758
2022-02-09,0.014635847204339747,0.027171690928510905
2022-02-10,-0.017965638623386293,-0.03427719114036709
2022-02-11,-0.01971867319165177,-0.038001378575420186
2022-02-14,-0.0032693250564360676,-0.00942455858697544
2022-02-15,0.016126899553055685,0.033603235558655076
2022-02-16,0.0011209029398715487,0.001370932786842971
2022-02-17,-0.021361541719525423,-0.04283212174236117
2022-02-18,-0.0064749901939548105,-0.012464212987579937
2022-02-22,-0.010731585227155116,-0.020898024906264023
2022-02-23,-0.017738773411473785,-0.03624251951707558
2022-02-24,0.015049178275055919,0.029821305702559142
2022-02-25,0.022064046468892373,0.044394654639686504
2022-02-28,-0.002558704252293209,-0.005810304204747374
2022-03-01,-0.015230235001844061,-0.03116990165737532
2022-03-02,0.01839623055535844,0.03884016135751711
2022-03-03,-0.004978383230257011,-0.013345764758172063
2022-03-04,-0.008124742344323144,-0.01342262654222881
2022-03-07,-0.02947909844103269,-0.05923610239653021
2022-03-08,-0.0075818464545505115,-0.013572111782825247
2022-03-09,0.026811076994193384,0.0515392928200098
2022-03-10,-0.004515641950541216,-0.010188653014834848
2022-03-11,-0.012715042934355436,-0.026113361217747766
2022-03-14,-0.007308375657224309,-0.012683722631524064
2022-03-15,0.021990438912924848,0.043610804637432166
2022-03-16,0.022174172257597213,0.044487611771620195
2022-03-17,0.012510997600076346,0.025534932249449804
2022-03-18,0.010952678225756296,0.020362933966400654
2022-03-21,-0.0002922936544876853,-0.0003953327201778878
2022-03-22,0.011701406806327475,0.02391787149734448
2022-03-23,-0.012878505973311083,-0.023359169874013097
2022-03-24,0.015074419073146661,0.026685210606449905
2022-03-25,0.004883535969381958,0.01030032246409851
2022-03-28,0.007113056027756581,0.013911503518124757
2022-03-29,0.012370858744762847,0.0255615189009768
2022-03-30,-0.0061747477871512135,-0.01264558145760919
2022-03-31,-0.015391360101786544,-0.02598609113784256
2022-04-01,0.0028342863436139343,0.0011433989729869865
2022-04-04,0.008566402945685336,0.016750848048137312
2022-04-05,-0.012631401581268742,-0.025461097905218444
2022-04-06,-0.009999341139370843,-0.020266902691692512
2022-04-07,0.00503913651526311,0.01019597652965376
2022-04-08,-0.002674007659387856,-0.005531819255267134
2022-04-11,-0.01709232621682033,-0.03464435695568169
2022-04-12,-0.0037052469593267245,-0.00697523835147551
2022-04-13,0.011453601753344866,0.023109054299372378
2022-04-14,-0.012451890749034522,-0.025174146477756953
2022-04-18,0.000411350416514189,-0.001020718179230773
2022-04-19,0.016142505180170685,0.03177693065204856
2022-04-20,-0.0007413792806987285,0.0004950687151341615
2022-04-21,-0.014953661680798258,-0.030486153661893556
2022-04-22,-0.027439040589626984,-0.05512996493644651
2022-04-25,0.0057973903959878115,0.011453325056317354
2022-04-26,-0.028960727083432225,-0.057472515347017694
2022-04-27,0.002811773833583997,0.004873613629774454
2022-04-28,0.02525946144743041,0.051432311232944894
2022-04-29,-0.036955636288293126,-0.07541299212267438
2022-05-02,0.0060194851432922025,0.01438687673158534
2022-05-03,0.004584009714971193,0.007320213748627902
2022-05-04,0.030453084626454574,0.06029288755054396
2022-05-05,-0.035542954378267155,-0.06982231358175361
2022-05-06,-0.00596888468631962,-0.011512842402873757
2022-05-09,-0.03201729996144431,-0.06359183994612516
2022-05-10,0.0023103371069399525,0.0038558098477599057
2022-05-11,-0.015885973862472147,-0.032585916114400204
2022-05-12,-0.0010437740505609971,-0.0028177168173019185
2022-05-13,0.023907709283984557,0.04829200083181018
2022-05-16,-0.004057662412456198,-0.009556650350364126
2022-05-17,0.020570444555998213,0.04280078916496777
2022-05-18,-0.04031150416273588,-0.07935961064660502
2022-05-19,-0.0061247105038475524,-0.01340010328122887
2022-05-20,0.00043668998163259864,0.00013049678026066935
2022-05-23,0.01870981621936396,0.03577969737088926
2022-05-24,-0.007633560191835476,-0.012607327330982687
2022-05-25,0.008834865753218457,0.017492599054099722
2022-05-26,0.0199813892610885,0.04028069119543054
2022-05-27,0.024549158142970207,0.04885421839518256
2022-05-31,-0.0056109665848957935,-0.013570986023600518
2022-06-01,-0.008088517188832522,-0.014224053884596133
2022-06-02,0.019043351629886907,0.03678297270286812
2022-06-03,-0.016411415748252,-0.031713540536570606
