Date,Advancers,Decliners,Neutral
1995-12-20,366,264,139
1995-12-21,377,244,148
1995-12-22,367,231,171
1995-12-26,327,256,186
1995-12-27,352,257,160
1995-12-28,307,280,182
1995-12-29,387,214,168
1996-01-02,415,236,118
1996-01-03,373,255,141
1996-01-04,222,411,137
1996-01-05,296,314,160
1996-01-08,339,223,209
1996-01-09,205,425,141
1996-01-10,143,508,120
1996-01-11,374,230,167
1996-01-12,260,333,179
1996-01-15,260,323,189
1996-01-16,351,259,162
1996-01-17,304,299,169
1996-01-18,330,276,166
1996-01-19,342,270,160
1996-01-22,330,275,167
1996-01-23,284,296,192
1996-01-24,389,215,168
1996-01-25,263,324,185
1996-01-26,356,229,187
1996-01-29,340,263,169
1996-01-30,430,205,137
1996-01-31,408,197,167
1996-02-01,333,276,163
1996-02-02,269,325,179
1996-02-05,347,260,166
1996-02-06,381,237,155
1996-02-07,302,306,165
1996-02-08,376,229,168
1996-02-09,316,287,170
1996-02-12,376,210,187
1996-02-13,300,321,152
1996-02-14,291,320,162
1996-02-15,270,334,169
1996-02-16,279,346,148
1996-02-20,127,520,126
1996-02-21,429,194,150
1996-02-22,469,170,134
1996-02-23,306,311,156
1996-02-26,204,406,163
1996-02-27,257,348,168
1996-02-28,320,291,162
1996-02-29,212,398,164
1996-03-01,367,241,167
1996-03-04,419,189,167
1996-03-05,307,286,182
1996-03-06,294,317,164
1996-03-07,289,296,190
1996-03-08,41,662,72
1996-03-11,409,229,137
1996-03-12,237,371,167
1996-03-13,388,249,138
1996-03-14,356,239,180
1996-03-15,297,323,156
1996-03-18,475,155,146
1996-03-19,337,277,162
1996-03-20,297,288,191
1996-03-21,298,299,179
1996-03-22,364,228,184
1996-03-25,291,318,167
1996-03-26,317,281,178
1996-03-27,256,342,178
1996-03-28,292,315,169
1996-03-29,322,298,156
1996-04-01,403,212,161
1996-04-02,318,290,168
1996-04-03,276,304,196
1996-04-04,283,305,188
1996-04-08,82,592,102
1996-04-09,344,256,176
1996-04-10,218,425,133
1996-04-11,240,394,142
1996-04-12,427,195,154
1996-04-15,410,214,152
1996-04-16,348,265,163
1996-04-17,245,351,180
1996-04-18,342,245,189
1996-04-19,353,235,188
1996-04-22,399,221,156
1996-04-23,334,293,149
1996-04-24,309,299,168
1996-04-25,323,274,179
1996-04-26,336,285,155
1996-04-29,317,273,186
1996-04-30,293,312,171
1996-05-01,352,251,173
1996-05-02,134,508,134
1996-05-03,271,322,183
1996-05-06,300,303,173
1996-05-07,263,337,176
1996-05-08,311,294,171
1996-05-09,328,274,175
1996-05-10,459,141,178
1996-05-13,412,217,149
1996-05-14,395,215,168
1996-05-15,308,303,167
1996-05-16,270,333,176
1996-05-17,406,218,155
1996-05-20,330,273,176
1996-05-21,317,292,170
1996-05-22,346,275,158
1996-05-23,257,339,183
1996-05-24,306,264,209
1996-05-28,192,419,168
1996-05-29,232,402,145
1996-05-30,361,233,185
1996-05-31,273,317,189
1996-06-03,291,321,167
1996-06-04,380,210,189
1996-06-05,358,256,165
1996-06-06,236,373,170
1996-06-07,203,435,141
1996-06-10,276,325,178
1996-06-11,297,300,182
1996-06-12,297,296,187
1996-06-13,254,336,190
1996-06-14,252,344,184
